VIN,date ,Odometer Reading
JM1FD3317P0,1994-01-27,144
JM1FD3317P0,1995-01-17,6326
JM1FD3317P0,1997-01-08,15839
JM1FD3317P0,1999-01-12,33707
JM1FD3317P0,2001-01-15,43117
JM1FD3317P0,2001-10-08,45358
JM1FD3317P0,2001-11-14,45360
JM1FD3317P0,2003-09-19,52430
JM1FD3317P0,2004-09-03,57869
JM1FD3317P0,2005-10-06,60062
JM1FD3317P0,2010-05-28,65712
JM1FD3317P0,2010-08-10,67500
JM1FD3317P0,2010-09-03,67501
JM1FD3317P0,2011-09-16,66924
JM1FD3317P0,2013-08-07,66926
JM1FD3317P0,2013-08-23,67693
JM1FD3317P0,2013-08-23,67695
JM1FD3317P0,2016-04-19,72166
JHMCD5631RC,2000-08-11,128350
JHMCD5631RC,2001-02-19,139099
JHMCD5631RC,2002-05-18,163546
JHMCD5631RC,2003-01-09,176070
JHMCD5631RC,2004-06-03,210708
JHMCD5631RC,2006-06-30,134216
JHMCD5631RC,2006-09-27,134835
JHMCD5631RC,2008-08-01,152916
JHMCD5631RC,2011-10-14,169972
JHMCD5631RC,2014-12-13,186143
2FTHF25G7MC,1994-04-06,45000
2FTHF25G7MC,1995-05-26,69157
2FTHF25G7MC,1995-07-23,73871
2FTHF25G7MC,1996-08-29,87756
2FTHF25G7MC,1998-01-08,107898
2FTHF25G7MC,2003-05-23,157500
2FTHF25G7MC,2004-06-01,24272
2FTHF25G7MC,2004-06-02,24284
2FTHF25G7MC,2004-06-19,24308
2FTHF25G7MC,2006-08-15,44728
1FTYR10D64T,2003-12-08,10
1FTYR10D64T,2005-05-11,3293
1FTYR10D64T,2006-11-08,9649
1FTYR10D64T,2007-10-13,13356
1FTYR10D64T,2008-10-20,26248
1FTYR10D64T,2009-02-19,27939
1FTYR10D64T,2015-07-10,109802
1FTYR10D64T,2016-03-15,110940
1FTYR10D64T,2016-09-20,111167
1FTYR10D64T,2016-10-21,89111
1FTYR10D64T,2017-07-07,111160
1FTYR10D64T,2018-04-28,111350
1FTYR10D64T,2018-10-20,115770
JA4MW31R71J,2000-10-27,1120
JA4MW31R71J,2001-01-17,4110
JA4MW31R71J,2001-05-02,8550
JA4MW31R71J,2003-02-06,18320
JA4MW31R71J,2004-11-06,72801
JA4MW31R71J,2006-09-24,76390
JA4MW31R71J,2006-11-17,80000
JA4MW31R71J,2007-01-31,95762
JA4MW31R71J,2007-08-01,96990
JA4MW31R71J,2008-03-13,109780
JA4MW31R71J,2010-10-21,37807
JA4MW31R71J,2011-03-26,40497
JA4MW31R71J,2018-12-18,82445
4T3BA3BB5CU,2012-06-22,10
4T3BA3BB5CU,2013-09-23,18440
4T3BA3BB5CU,2014-02-25,23487
4T3BA3BB5CU,2014-09-08,30015
4T3BA3BB5CU,2014-09-15,30288
4T3BA3BB5CU,2015-04-29,37736
4T3BA3BB5CU,2015-04-29,57734
4T3BA3BB5CU,2015-10-08,59630
4T3BA3BB5CU,2016-11-10,54729
4T3BA3BB5CU,2017-02-21,57568
4T3BA3BB5CU,2017-02-27,57784
4T3BA3BB5CU,2017-10-11,58672
